NumeroScheda,Intestazione,Titolo,Anno,NumeroArchivio,Tecnica,Dimensioni,SegniRecto,SegniVerso,Collocazione,Provenienza,EsposizioniPersonali,EsposizioniCollettive,Bibliografia,Note,ImmagineRecto,ImmagineVerso,ImmagineLaterale,Illustrazione1,Illustrazione2,Illustrazione3,PaginePDF,TestoIntegrale
26,1925 d673,[Scena],1925 ca.,1925 d 673,matita e tempera su carta,"cm 30,5 x 45,2",no,non noto,non nota,,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.",,"Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 13.","Bucci (1991) interpreta l’opera come un lavoro incompiuto, probabilmente mai portato a termine da Di Cocco, ma documentato da numerosi disegni preparatori che attestano un intenso lavoro progettuale. Per la sproporzione delle figure, il trattamento degli alberi e la presenza, sullo sfondo, di una coppia che si incammina, l’opera presenta affinità con Le balie (1924), suggerendo una datazione successiva a tale anno.",,,,,,,38-39,"Recto:
Verso:
[Figura femminile con braccio destro alzato e mano sinistra sul ginocchio], 1925 ca.
Numero d’archivio: 1925 p 232
Tecnica: olio su cartone
Dimensioni: cm 43,5 x 28,6
Segni sul recto: no
Segni sul verso: nella parte superiore sono visibili quattro larghe bande di colore verticali; nella
parte inferiore macchie di colore a olio e tempera; cartellino adesivo in alto a destra che riporta il
numero d’archivio «P. 232»
Collocazione: collezione privata, Roma"
27,1925 p232,[Figura femminile con braccio destro alzato e mano sinistra sul ginocchio],1925 ca.,1925 p 232,olio su cartone,"cm 43,5 x 28,6",no,nella parte superiore sono visibili quattro larghe bande di colore verticali; nella parte inferiore macchie di colore a olio e tempera; cartellino adesivo in alto a destra che riporta il numero d’archivio «P. 232»,"collezione privata, Roma",,,,,,,,,,,,39-40,"Recto:
Verso:
Donna con copricapo bianco e bruno e braccio alzato, 1925 ca.
Numero d’archivio: 1925 p277 (a) e (b)
Tecnica: olio su cartone
Dimensioni: cm 45 x 32
Segni sul recto: «Fr. Di Cocco» in alto a sinistra
Segni sul verso: dipinto con figure nel paesaggio traccia involontaria di colore blu e rosso in basso a
sinistra
Collocazione: collezione privata, Roma
Note:
La figura sul recto è stata probabilmente rimaneggiata in epoca tarda con strati di gessetto che
semplificano i panneggi e lo sfondo. Si notano aree in cui la pittura originale è lasciata visibile
creando un alone intorno alla firma e intorno al braccio alzato. Il dipinto sul verso pur non avendo
una storia espositiva, né l’indicazione di una data può essere collocato nella prima metà degli anni
Trenta, considerando il tema delle figure in paesaggi marini, frequenti a partire dal 1932, e una
pittura più gestuale e meno disegnata come nell’opera I silos del 1934 (cfr. 1934 p121)."
28,1925 p277 (a) e (b),Donna con copricapo bianco e bruno e braccio alzato,1925 ca.,1925 p277 (a) e (b),olio su cartone,cm 45 x 32,«Fr. Di Cocco» in alto a sinistra,dipinto con figure nel paesaggio traccia involontaria di colore blu e rosso in basso a sinistra,"collezione privata, Roma",,,,,"La figura sul recto è stata probabilmente rimaneggiata in epoca tarda con strati di gessetto che semplificano i panneggi e lo sfondo. Si notano aree in cui la pittura originale è lasciata visibile creando un alone intorno alla firma e intorno al braccio alzato. Il dipinto sul verso pur non avendo una storia espositiva, né l’indicazione di una data può essere collocato nella prima metà degli anni Trenta, considerando il tema delle figure in paesaggi marini, frequenti a partire dal 1932, e una pittura più gestuale e meno disegnata come nell’opera I silos del 1934 (cfr. 1934 p121).",,,,,,,40-41,"Cristo e i pescatori, 1925/26
Numero d’archivio: 1925 p175
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. p. 13;
Di Cocco nomade, solitario, contemplativo dal Futurismo alle strutture di colore puro, catalogo
della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit,
Macerata 1984, pp. 14, 34, 35.
Note:
Secondo la testimonianza dell’artista rilasciata a Crispolti (Macerata, 1984) si tratta di un quadro di
grandi dimensioni, che era stato selezionato, prima di essere completato, da Funi e Salietti, per la
Prima Mostra del Novecento italiano del 1926. Sempre secondo i ricordi dell’artista, non essendo
riuscito a completare l’opera in tempo, sarebbe stato sostituito da Madonnina (cfr. 1924 p224).
L’opera, dispersa, oggi è nota soltanto grazie a una foto storica conservata presso l’Archivio
Crispolti (vedi anche Bucci 1991)."
29,1925 p175,Cristo e i pescatori,1925/26,1925 p175,,,,,,,,,"Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. p. 13;
Di Cocco nomade, solitario, contemplativo dal Futurismo alle strutture di colore puro, catalogo della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit, Macerata 1984, pp. 14, 34, 35.","Secondo la testimonianza dell’artista rilasciata a Crispolti (Macerata, 1984) si tratta di un quadro di grandi dimensioni, che era stato selezionato, prima di essere completato, da Funi e Salietti, per la Prima Mostra del Novecento italiano del 1926. Sempre secondo i ricordi dell’artista, non essendo riuscito a completare l’opera in tempo, sarebbe stato sostituito da Madonnina (cfr. 1924 p224). L’opera, dispersa, oggi è nota soltanto grazie a una foto storica conservata presso l’Archivio Crispolti (vedi anche Bucci 1991).",,,,,,,41-42,"Recto:
Verso:
[Paesaggio], 1925-26
Numero d’archivio: 1925 p254
Tecnica: [pastello su carta intelata]
Dimensioni: 26 x 36
Segni sul recto: no
Segni sul verso: cartellino adesivo in alto a destra con il numero d’archivio «P. 254»
Collocazione: collezione privata, Roma"
30,1925 p254,[Paesaggio],1925-26,1925 p254,[pastello su carta intelata],26 x 36,no,cartellino adesivo in alto a destra con il numero d’archivio «P. 254»,"collezione privata, Roma",,,,,,,,,,,,43,"Recto:
[Scena biblica. Due figure al pozzo], 1925-26
Numero d’archivio: 1925 p174
Note:
originale non noto, opera documentata presso l’Archivio E. Crispolti."
31,1925 p174,[Scena biblica. Due figure al pozzo],1925-26,1925 p174,,,,,,,,,,"originale non noto, opera documentata presso l’Archivio E. Crispolti.",,,,,,,44,"Recto:
Verso:
[Modella seduta con schiena nuda], 1925-30
Numero d’archivio: 1925 p226
Tecnica: olio su tavola
Dimensioni: cm 76 x 53,5
Segni sul recto: no
Segni sul verso: cartellino adesivo in alto a destra con il numero d’archivio «P. 226»
Collocazione: collezione privata, Roma"
32,1925 p226,[Modella seduta con schiena nuda],1925-30,1925 p226,olio su tavola,"cm 76 x 53,5",no,cartellino adesivo in alto a destra con il numero d’archivio «P. 226»,"collezione privata, Roma",,,,,,,,,,,,45,"Recto:
Verso:
[Paesaggio con ciminiera], 1925-30
Numero d’archivio: 1925 p281
Tecnica: olio su tela
Dimensioni: cm 70,3 x 91,2
Segni sul recto: no
Segni sul verso: cartellino adesivo in alto a sinistra con il numero d’archivio «P. 281»
Collocazione: collezione privata, Roma
Note:
Restauro Antonio Rava, 1991."
33,1925 p281,[Paesaggio con ciminiera],1925-30,1925 p281,olio su tela,"cm 70,3 x 91,2",no,cartellino adesivo in alto a sinistra con il numero d’archivio «P. 281»,"collezione privata, Roma",,,,,"Restauro Antonio Rava, 1991.",,,,,,,46,"Recto:
[Paesaggio con figure], 1930 ca.
Numero d’archivio: 1925 SN 6 (P 12)
Tecnica: olio su cartone
Dimensioni: cm 35,7 x 49,4
Segni sul recto: no
Segni sul verso: non ispezionabile
Collocazione: collezione privata, Roma
Note:
Per la soluzione delle due figure di spalle cfr. 1930 p238 e 1929 p222."
34,1925 SN 6 (P 12),[Paesaggio con figure],1930 ca.,1925 SN 6 (P 12),olio su cartone,"cm 35,7 x 49,4",no,non ispezionabile,"collezione privata, Roma",,,,,Per la soluzione delle due figure di spalle cfr. 1930 p238 e 1929 p222.,,,,,,,47,"Recto:
[La lavanda dei piedi], 1926 ca.
Numero d’archivio: 1926 p307
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. p. 13.
Note:
originale non noto, opera documentata presso l’Archivio E. Crispolti."
35,1926 p307,[La lavanda dei piedi],1926 ca.,1926 p307,,,,,,,,,"Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. p. 13.","originale non noto, opera documentata presso l’Archivio E. Crispolti.",,,,,,,48,"Recto:
Verso:
[Studio per Benedizione e paesaggio con ciminiera], 1926 ca.
Numero d’archivio: 1926 p19
Tecnica: olio su cartone
Dimensioni: 55,6 x 29,4
Segni sul recto: no
Segni sul verso: cartellino adesivo in alto a sinistra con il numero d’archivio «P. 19»
Collocazione: collezione privata, Roma
Note:
studio preparatorio per Benedizione e paesaggio con ciminiera (cfr. 1926 p100)."
36,1926 p19,[Studio per Benedizione e paesaggio con ciminiera],1926 ca.,1926 p19,olio su cartone,"55,6 x 29,4",no,cartellino adesivo in alto a sinistra con il numero d’archivio «P. 19»,"collezione privata, Roma",,,,,studio preparatorio per Benedizione e paesaggio con ciminiera (cfr. 1926 p100).,,,,,,,49-50,"Recto:
Verso:
[Benedizione e paesaggio con ciminiera], 1926 ca.
Numero d’archivio: 1926 p100
Tecnica: olio su cartone
Dimensioni: cm 26,5 x 33
Segni sul recto: no
Segni sul verso: cartellino adesivo in alto a sinistra con il numero d’archivio «P. 100»
Collocazione: collezione privata, Roma"
37,1926 p100,[Benedizione e paesaggio con ciminiera],1926 ca.,1926 p100,olio su cartone,"cm 26,5 x 33",no,cartellino adesivo in alto a sinistra con il numero d’archivio «P. 100»,"collezione privata, Roma",,,,,,,,,,,,50-51,"Recto:
[L’arca di Noè [studio per]], 1926 ca.
Numero d’archivio: 1926 d31
Tecnica: carboncino su carta
Dimensioni: cm 105 x 160
Segni sul recto: no
Segni sul verso: non noto
Collocazione: Galleria Nazionale d’Arte Moderna e Contemporanea, Roma
Bibliografia:
Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo
della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit,
Macerata 1984, ripr. n. 11, p. 10."
38,1926 d31,[L’arca di Noè [studio per]],1926 ca.,1926 d31,carboncino su carta,cm 105 x 160,no,non noto,"Galleria Nazionale d’Arte Moderna e Contemporanea, Roma",,,,"Di Cocco nomade, solitario, contemplativo dal futurismo alle strutture di colore puro, catalogo della mostra, a cura di Enrico Crispolti, con note bio-bibliografiche di Daniela Pagliai, Coopedit, Macerata 1984, ripr. n. 11, p. 10.",,,,,,,,51,"Recto:
(segnato nella compagna fotografica: PA4)
[Studio per ""L'arca di Noè”], 1926 ca.
Numero d’archivio: 1926 pa14
Tecnica: gessetti su carta
Dimensioni: cm 67,5 x 44
Segni sul recto: no
Segni sul verso: non ispezionabile
Collocazione: collezione privata, Roma
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 15;
Piero della Francesca e il Novecento, catalogo della mostra, a cura di Maria Mimita Lamberti,
Maurizio Fagiolo dell’Arco, Marsilio, Venezia 1991, ripr. p. 118.
Note:
Si tratta di uno studio per una delle due figure maschili poste al centro de L'arca di Noè cfr. 1926
p240 (Bucci, 1991)."
39,1926 pa14,"[Studio per ""L'arca di Noè”]",1926 ca.,1926 pa14,gessetti su carta,"cm 67,5 x 44",no,non ispezionabile,"collezione privata, Roma",,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.",,"Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 15;
Piero della Francesca e il Novecento, catalogo della mostra, a cura di Maria Mimita Lamberti, Maurizio Fagiolo dell’Arco, Marsilio, Venezia 1991, ripr. p. 118.","Si tratta di uno studio per una delle due figure maschili poste al centro de L'arca di Noè cfr. 1926 p240 (Bucci, 1991).",,,,,,,52,"Recto:
[Figura distesa], 1926-27
Numero d’archivio: 1926 p225
Tecnica: olio su cartone
Dimensioni: cm 22,6 x 30
Segni sul recto: «Fr. Di Cocco» in alto a sinistra
Segni sul verso: cfr. note
Collocazione: non nota
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro,
Galleria Narciso, Torino.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana. 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci e Cristiana Perrella,
Galleria Arco Farnese, Roma, 6 novembre 1991, Edizioni Arco Farnese, Roma 1991, ripr. tav. n.
28.
Note:
Bucci (1991) segnala sul verso del supporto la presenza della scritta autografa a matita «Fr. Di
Cocco 1920», probabilmente apposta in un momento successivo; per la forma arrotondata del volto,
degli occhi, e la pennellata pastosa, l’opera si avvicina infatti a lavori della fine del 1926 e dei primi
mesi del 1927, quali Ufficiale della Guardia (cfr. 1927 p14) e Figura con turbante (cfr. 1927 p223)."
40,1926 p225,[Figura distesa],1926-27,1926 p225,olio su cartone,"cm 22,6 x 30",«Fr. Di Cocco» in alto a sinistra,cfr. note,non nota,,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma;
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, Galleria Narciso, Torino.",,"Francesco Di Cocco. Dal futurismo alla Scuola Romana. 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci e Cristiana Perrella, Galleria Arco Farnese, Roma, 6 novembre 1991, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 28.","Bucci (1991) segnala sul verso del supporto la presenza della scritta autografa a matita «Fr. Di Cocco 1920», probabilmente apposta in un momento successivo; per la forma arrotondata del volto, degli occhi, e la pennellata pastosa, l’opera si avvicina infatti a lavori della fine del 1926 e dei primi mesi del 1927, quali Ufficiale della Guardia (cfr. 1927 p14) e Figura con turbante (cfr. 1927 p223).",,,,,,,53,"Recto:
[Figure sulla spiaggia], 1926-28
Numero d’archivio: 1926 p303
Note:
originale non noto, opera documentata presso l’Archivio E. Crispolti."
41,1926 p303,[Figure sulla spiaggia],1926-28,1926 p303,,,,,,,,,,"originale non noto, opera documentata presso l’Archivio E. Crispolti.",,,,,,,54,"Recto:
L’Arca di Noè, 1926 ca.
Numero d’archivio: 1926 p240
Tecnica: olio su tela
Dimensioni: cm 116 x 172
Segni sul recto: no
Segni sul verso: non noto
Collocazione: Collezione Ovidio Jacorossi, Roma
Esposizioni personali:
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro,
Galleria Narciso, Torino.
Esposizioni collettive:
1929, II Convegno di Roma, Palazzo Doria, Roma;
1990, Roma anni Venti. Pittura scultura e arti applicate, Palazzo Rondanini, Roma;
1991, Piero della Francesca e il Novecento, Sansepolcro, Museo Civico, Sala delle Pietre, Venezia.
Bibliografia:
Giovanni Scheiwiller, Art Italien Moderne, Éditions Bonaparte, Paris 1930, ripr. p. 45 (con il titolo
L’Arche de Noë);
Roma anni Venti. Pittura scultura e arti applicate, catalogo della mostra, a cura di Valerio
Rivosecchi, Regione Lazio, Roma 1990, ripr. p. 91;
Marco Di Capua, Sulla scena romana, in «Il Giornale», Milano, 8 luglio 1990;
Piero della Francesca e il Novecento, catalogo della mostra, a cura di Maria Mimita Lamberti,
Maurizio Fagiolo dell’Arco, Marsilio, Venezia 1991, ripr. p. 119;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. p. 14;
Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, catalogo
della mostra, con testi di Titina Maselli, Enrico Crispolti, Antonio Rava, Carlo Alberto Bucci,
Quaderni dell’Archivio Crispolti, Officina Edizioni, Roma 1996, ripr. p. 18;
Roma 1918-1943, catalogo della mostra, a cura di Fabio Benzi, Gianni Mercurio, Luigi Prisco,
Viviani, Roma 1998, ripr. p. 30.
Note:
Scheiwiller (1930) data l’opera al 1928, tuttavia Crispolti (1991) p. 22 nota 19 ha documentato
convincentemente la datazione al 1926 ca. su basi di varia natura: una testimonianza retrospettiva
dell’artista del 1984, osservazioni stilistiche; e il rinvenimento di un foglio “su cui l’artista ha
disegnato uno studio per L’arca di Noè accanto ad altri due, più piccoli, per il Cristo e i pescatori
del 1925-primi mesi del 1926. Il disegno in questione è riprodotto nello stesso volume a p. 20."
42,1926 p240,L’Arca di Noè,1926 ca.,1926 p240,olio su tela,cm 116 x 172,no,non noto,"Collezione Ovidio Jacorossi, Roma",,"1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, Galleria Narciso, Torino.","1929, II Convegno di Roma, Palazzo Doria, Roma;
1990, Roma anni Venti. Pittura scultura e arti applicate, Palazzo Rondanini, Roma;
1991, Piero della Francesca e il Novecento, Sansepolcro, Museo Civico, Sala delle Pietre, Venezia.","Giovanni Scheiwiller, Art Italien Moderne, Éditions Bonaparte, Paris 1930, ripr. p. 45 (con il titolo L’Arche de Noë);
Roma anni Venti. Pittura scultura e arti applicate, catalogo della mostra, a cura di Valerio Rivosecchi, Regione Lazio, Roma 1990, ripr. p. 91;
Marco Di Capua, Sulla scena romana, in «Il Giornale», Milano, 8 luglio 1990;
Piero della Francesca e il Novecento, catalogo della mostra, a cura di Maria Mimita Lamberti, Maurizio Fagiolo dell’Arco, Marsilio, Venezia 1991, ripr. p. 119;
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. p. 14;
Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, catalogo della mostra, con testi di Titina Maselli, Enrico Crispolti, Antonio Rava, Carlo Alberto Bucci, Quaderni dell’Archivio Crispolti, Officina Edizioni, Roma 1996, ripr. p. 18;
Roma 1918-1943, catalogo della mostra, a cura di Fabio Benzi, Gianni Mercurio, Luigi Prisco, Viviani, Roma 1998, ripr. p. 30.","Scheiwiller (1930) data l’opera al 1928, tuttavia Crispolti (1991) p. 22 nota 19 ha documentato convincentemente la datazione al 1926 ca. su basi di varia natura: una testimonianza retrospettiva dell’artista del 1984, osservazioni stilistiche; e il rinvenimento di un foglio “su cui l’artista ha disegnato uno studio per L’arca di Noè accanto ad altri due, più piccoli, per il Cristo e i pescatori del 1925-primi mesi del 1926. Il disegno in questione è riprodotto nello stesso volume a p. 20.",,,,,,,55-56,"Recto:
Verso:
[Autoritratto], 1926-1927
Numero d’archivio: 1926 p25
Tecnica: olio su tela
Dimensioni: cm 60 x 40,5
Segni sul recto: no
Segni sul verso: cartellino adesivo in alto a sinistra con il numero d’archivio «P.25»
Collocazione: collezione privata, Roma
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 27.
Note:
Restauro Antonio Rava, 1991. Bucci (1991) ricorda la rimozione, nel restauro del 1991, delle
pesanti ridipinture apportate dall’artista in tarda età, che hanno compromesso la leggibilità
dell’immagine, rendendo difficile il confronto stilistico. Nonostante ciò, propone una datazione
intorno al 1926–27, fondata sulla semplificazione geometrica e l’accentuata rotondità dei
lineamenti, riscontrabile anche in opere quali L’arca di Noè (cfr. 1926 p240) e Ufficiale della
Guardia (cfr. 1927 p14)."
43,1926 p25,[Autoritratto],1926-1927,1926 p25,olio su tela,"cm 60 x 40,5",no,cartellino adesivo in alto a sinistra con il numero d’archivio «P.25»,"collezione privata, Roma",,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.",,"Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 27.","Restauro Antonio Rava, 1991. Bucci (1991) ricorda la rimozione, nel restauro del 1991, delle pesanti ridipinture apportate dall’artista in tarda età, che hanno compromesso la leggibilità dell’immagine, rendendo difficile il confronto stilistico. Nonostante ciò, propone una datazione intorno al 1926–27, fondata sulla semplificazione geometrica e l’accentuata rotondità dei lineamenti, riscontrabile anche in opere quali L’arca di Noè (cfr. 1926 p240) e Ufficiale della Guardia (cfr. 1927 p14).",,,,,,,56-57,"Recto:
Verso:
[Paesaggio con torre sul mare], 1927 ca.
Numero d’archivio: 1927 p 65 (a) e (b)
Tecnica: olio su tavola
Dimensioni: cm 33,5 x 39,3
Segni sul recto: no
Segni sul verso: Paesaggio con edificio sullo sfondo forse coevo all’immagine del recto, alterato
radicalmente in epoca tarda, probabilmente 1980-89
Collocazione: collezione privata, Roma
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro,
Galleria Narciso, Torino.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella,
Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 30.
Note:
Restauro Antonio Rava, 1991. Bucci (1991) data l’opera intorno al 1927 in virtù della somiglianza
con le architetture, l’albero e le tonalità chiare di Donna sull’aia."
44,1927 p 65 (a) e (b),[Paesaggio con torre sul mare],1927 ca.,1927 p 65 (a) e (b),olio su tavola,"cm 33,5 x 39,3",no,"Paesaggio con edificio sullo sfondo forse coevo all’immagine del recto, alterato radicalmente in epoca tarda, probabilmente 1980-89","collezione privata, Roma",,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.
1996, Francesco Di Cocco. Settant'anni di ricerca dal Futurismo alle strutture di colore puro, Galleria Narciso, Torino.",,"Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci, Cristiana Perrella, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 30.","Restauro Antonio Rava, 1991. Bucci (1991) data l’opera intorno al 1927 in virtù della somiglianza con le architetture, l’albero e le tonalità chiare di Donna sull’aia.",,,,,,,58-59,"Recto:
[Studio per ""Pentimento di Pietro""], 1927 ca.
Numero d’archivio: 1927 p24
Tecnica: olio su cartone
Dimensioni: cm 49 x 33
Segni sul recto: no
Segni sul verso: non noto
Collocazione: non nota
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana. 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci e Cristiana Perrella,
Galleria Arco Farnese, Roma, 6 novembre 1991, Edizioni Arco Farnese, Roma 1991, ripr. tav. n.
18."
45,1927 p24,"[Studio per ""Pentimento di Pietro""]",1927 ca.,1927 p24,olio su cartone,cm 49 x 33,no,non noto,non nota,,"1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese, Roma.",,"Francesco Di Cocco. Dal futurismo alla Scuola Romana. 1917-1938, catalogo della mostra, a cura di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci e Cristiana Perrella, Galleria Arco Farnese, Roma, 6 novembre 1991, Edizioni Arco Farnese, Roma 1991, ripr. tav. n. 18.",,,,,,,,59-60,"Recto:
[Studio per ""Pentimento di Pietro""], 1927 ca.
Numero d’archivio: 1927 pa7
Tecnica: gessetti su carta
Dimensioni: cm 53 x 44
Segni sul recto: no
Segni sul verso: non ispezionabile
Collocazione: collezione privata, Roma
Esposizioni personali:
1991, Francesco Di Cocco. Dal futurismo alla Scuola Romana 1917-1938, Galleria Arco Farnese,
Roma.
Bibliografia:
Francesco Di Cocco. Dal futurismo alla Scuola Romana. 1917-1938, catalogo della mostra, a cura
di Lucia Stefanelli Torossi, con testi di Enrico Crispolti, Carlo Alberto Bucci e Cristiana Perrella,
Galleria Arco Farnese, Roma, 6 novembre 1991, Edizioni Arco Farnese, Roma 1991, ripr. tav. n.
17.
Note:
Per tecnica e dimensioni del supporto analoghe a quelle di Donna alla fontana (cfr. 1927 pa6), lo
studio documenta la fase preparatoria del Pentimento di Pietro (1927 p252), differendo dalla
soluzione definitiva per la posizione del basamento, della mano che vi si appoggia e per il disegno
della mantellina (Bucci, 1991)."
